Emotion_value,Text_data
joy,feel like ever start feel happy consistent amount time end
joy,feel super warm nice smile cry
anger,try speak stand simply try insert conversation feel selfish like attention whore
anger,could walk slow pace browse booth long wanted dart shops main street without feeling rushed
sadness,feel hopeless usually want scream
joy,feel valuable quality children exhibit questioning curious mind especially regard
joy,feeling half joked ive undressing eyes months already rest eager share fun
joy,feel triumphant ive found
sadness,combinations frozen yogurt food art many snaps making feel miserable life still stuck office
joy,im kitchen glance lovely robins egg blue binding feel assured anything ever need know food found within pages
sadness,feel highly disadvantaged
joy,vocalize pain hurt feel like outsider others tell dont think never see hand told im faithful ive committed service coming everything
anger,feel jealous know go women
anger,however feel bit envious people different perfumes different seasons
joy,feel amazing tonight
sadness,end feeling unwelcome go spare bedroom used coat closet take xanax saving entire time pass
fear,ask know things everything changes feel bit shaky try keep leading edge huge amount change invited allow come alignment catch
sadness,feel awful missing school
joy,remote feel terrific great worth
fear,feeling suspicious snooped computer
joy,feel going strengthen divas division even talented female wrestlers gon na see things shake
anger,response
sadness,would one screaming yelling ive handed bill paying responsibilities family feel peace idiotic long distance calls seem accrue every month
joy,wish could say led feeling socially accepted
joy,days work feeling relaxed lucky share enjoy hubby
fear,sat feeling helpless like moment episode walking dead
fear,dont know feel frantic really want particular song little girl
sadness,feel disturbed thanks psychopath useless fake story
joy,look balance commercial titles feel could support artistic interpretation
sadness,feel movies says fact name means doomed
sadness,remember getting car body feeling really lame
joy,im go look start feel calm think phone probably died
joy,im feeling pretty determined right keep determination flowing
sadness,feel like every day grow stronger become less needy someone fill role
joy,also hate feeling forcing values onto others celebrating buying others gifts sake supporting consumerism
fear,ended eating lots carbs days feel pressured eat bunch last day
anger,feel ending bit rushed wonder might missed certain signs small thing story happens addictive dont notice time passing
joy,wasnt one feeling pleased laurie beside old structures artefacts still sitting around untouched pretty much condition day last locomotive went
sadness,wasnt self conscious atrocious singing think id tempted break whenever colleague feeling defeated
joy,feel prepare hurricanes every day week end night three precious storms leave trail throughout home
sadness,listen song feel sorrowful atmosphere
anger,feel offended used disgusted
sadness,actively seeking gods heart feel lethargic directionless slow comes see god even think god sees
joy,feeling pretty optimistic final product
joy,start enjoying becomes part general fabric feeling joyful everyday activities
joy,feel satisfied sad time
fear,feeling little shaky called day small bike
anger,feel sucked back vicious cycle starts every time open door every time show back back hints love youre afraid
fear,want able get without feeling weird bathing suit
fear,feel like weird limbo childhood adulthood
anger,noticed increasing frustration feel petty artificially created drama
joy,get feeling im valued potential welcome
anger,feel irritable like running def cure
anger,dont drink green charged water days feel irritable disoriented
anger,tired feel fucked
fear,also feel strange ripe old age twenty three want goddamn life partner
sadness,im feeling bit jaded
joy,think thin line effectual love hero worship actions toward asami make feel especially positive toward
joy,feel quite proud wonderful feeling years feeling anything
sadness,suppose natural squeeze every half hour last five days spend time family making memories friends promising feels like someone elses life numb way
